unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1625961600,2021-07-11 00:00:00,ETH/USD,2114.05,2174.11,2081.12,2138.96,14253.55514360,30487784.30995466
1625875200,2021-07-10 00:00:00,ETH/USD,2147.71,2192.98,2075.00,2109.76,13779.07649688,29070544.43005755
1625788800,2021-07-09 00:00:00,ETH/USD,2114.66,2187.96,2050.00,2146.58,26453.51274854,56784581.39576099
1625702400,2021-07-08 00:00:00,ETH/USD,2310.25,2324.74,2084.01,2114.79,53799.96747791,113775633.2226093
1625616000,2021-07-07 00:00:00,ETH/USD,2321.04,2410.00,2294.17,2312.92,16651.74676281,38514158.1226385
1625529600,2021-07-06 00:00:00,ETH/USD,2196.06,2351.19,2195.95,2323.16,19928.10013108,46296165.100519806
1625443200,2021-07-05 00:00:00,ETH/USD,2321.98,2323.45,2159.08,2199.00,16729.89935635,36789048.68461365
1625356800,2021-07-04 00:00:00,ETH/USD,2226.91,2389.00,2190.76,2324.49,27148.07903976,63105438.24713171
1625270400,2021-07-03 00:00:00,ETH/USD,2157.54,2240.77,2113.57,2227.69,27644.99821069,61584486.063972004
1625184000,2021-07-02 00:00:00,ETH/USD,2106.91,2160.28,2017.70,2155.07,18594.84391167,40073190.26872267
1625097600,2021-07-01 00:00:00,ETH/USD,2277.34,2277.34,2065.77,2107.77,61697.67783757,130044514.41569492
1625011200,2021-06-30 00:00:00,ETH/USD,2163.93,2289.40,2088.50,2276.34,28892.51290189,65769182.81908829
1624924800,2021-06-29 00:00:00,ETH/USD,2084.17,2247.00,2074.57,2162.50,24375.35452208,52711704.153998
1624838400,2021-06-28 00:00:00,ETH/USD,1984.30,2145.00,1962.08,2082.46,54038.39387571,112532793.71041104
1624752000,2021-06-27 00:00:00,ETH/USD,1828.73,1985.32,1806.85,1983.22,50563.46120942,100278467.53974593
1624665600,2021-06-26 00:00:00,ETH/USD,1809.90,1852.43,1717.17,1831.03,32140.31282020,58849876.98317081
1624579200,2021-06-25 00:00:00,ETH/USD,1989.78,2020.03,1791.48,1810.88,61519.93047850,111405211.70490609
1624492800,2021-06-24 00:00:00,ETH/USD,1968.30,2036.72,1884.10,1989.63,51434.49602856,102335616.33330384
1624406400,2021-06-23 00:00:00,ETH/USD,1879.95,2044.62,1823.92,1968.70,58577.68844560,115321895.24285272
1624320000,2021-06-22 00:00:00,ETH/USD,1887.34,1997.00,1700.00,1880.79,89264.64244197,167888046.85843277
1624233600,2021-06-21 00:00:00,ETH/USD,2244.46,2258.06,1864.79,1887.63,89431.74500832,168814044.8300551
1624147200,2021-06-20 00:00:00,ETH/USD,2167.43,2277.30,2040.91,2242.60,29174.43589279,65426589.93317085
